,nom,numPmu,age,sexe,race,statut,oeilleres,proprietaire,entraineur,deferre,driver,driverChange,robe,indicateurInedit,musique,nombreCourses,nombreVictoires,nombrePlaces,gainsParticipant,nomPere,nomMere,ordreArrivee,jumentPleine,engagement,supplement,handicapDistance,handicapPoids,poidsConditionMonteChange,tempsObtenu,reductionKilometrique,allure,course_id,participant_id,incident,placeCorde,urlCasaque,ecurie,tauxReclamation,nomPereMere,poidsConditionMonte,distanceChevalPrecedent,eleveur
174,COMMODORE,7,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,E. DESMET,J. NISKANEN,0,J. NISKANEN,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,DaDa2a,3,0,1,"{'gainsCarriere': 350000, 'gainsVictoires': 0, 'gainsPlace': 350000, 'gainsAnneeEnCours': 350000, 'gainsAnneePrecedente': 0}",Ready cash,Rivieres pourpres,9,False,False,0,2200,0,False,173920,79100,TROT,8,174,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P7.gif,0,0.0,0,0.0,0,0
175,COLOMBO ACE,8,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,S. FERCHAUD,S. FERCHAUD,0,B. FERCHAUD,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,2a9a7a5a,4,0,3,"{'gainsCarriere': 389000, 'gainsVictoires': 0, 'gainsPlace': 389000, 'gainsAnneeEnCours': 389000, 'gainsAnneePrecedente': 0}",Quinoa du gers,Queen du gite,6,False,False,0,2200,0,False,173290,78800,TROT,8,175,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P8.gif,0,0.0,0,0.0,0,0
176,CHIVAS DU PLESSIS,9,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,M. LENOIR,M. LENOIR,0,M. LENOIR,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,4a7aDa3a,4,0,3,"{'gainsCarriere': 510000, 'gainsVictoires': 0, 'gainsPlace': 510000, 'gainsAnneeEnCours': 510000, 'gainsAnneePrecedente': 0}",Nijinski rodney,Tequila du plessis,8,False,False,0,2200,0,False,173460,78800,TROT,8,176,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P9.gif,0,0.0,0,0.0,0,0
177,CRAZY LOVE,10,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,B. ROBIN,B. ROBIN,0,B. ROBIN,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,8aDa1a4aDa,5,1,1,"{'gainsCarriere': 575000, 'gainsVictoires': 495000, 'gainsPlace': 80000, 'gainsAnneeEnCours': 575000, 'gainsAnneePrecedente': 0}",Repeat love,Kelly de barb,3,False,False,0,2200,0,False,172270,78300,TROT,8,177,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P10.gif,0,0.0,0,0.0,0,0
178,CAMEL GRIFF,11,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie GRIFF,S. GUARATO,0,G. GELORMINI,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Da7a2a4a3a3a,6,0,5,"{'gainsCarriere': 831000, 'gainsVictoires': 0, 'gainsPlace': 831000, 'gainsAnneeEnCours': 831000, 'gainsAnneePrecedente': 0}",Nice love,Reine griff,0,False,False,0,2200,0,False,0,0,TROT,8,178,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P11.gif,0,0.0,0,0.0,0,0
179,COSMOS REYOR,12,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie G. DELACOUR,G. DELACOUR,0,G. DELACOUR,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,6aDa4aDa2a7a2a,7,0,5,"{'gainsCarriere': 848000, 'gainsVictoires': 0, 'gainsPlace': 848000, 'gainsAnneeEnCours': 848000, 'gainsAnneePrecedente': 0}",Saxo de vandel,Nultima atout,0,False,False,0,2200,0,False,0,0,TROT,8,179,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P12.gif,0,0.0,0,0.0,0,0
180,CLIF DU POMMEREUX,13,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,N. LOLIC,S. ROGER,0,S. ROGER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,4aDa1a,3,1,1,"{'gainsCarriere': 902000, 'gainsVictoires': 630000, 'gainsPlace': 272000, 'gainsAnneeEnCours': 902000, 'gainsAnneePrecedente': 0}",Love you,Noune du pommereux,2,False,False,0,2200,0,False,171570,78000,TROT,8,180,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P13.gif,0,0.0,0,0.0,0,0
181,CINOR,14,3,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie AB TROT,S. GUARATO,0,G. DELAUNE,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,8a3a1a,3,1,1,"{'gainsCarriere': 1047000, 'gainsVictoires': 585000, 'gainsPlace': 462000, 'gainsAnneeEnCours': 1047000, 'gainsAnneePrecedente': 0}",Orlando vici,Shine des douets,5,False,False,0,2200,0,False,173260,78800,TROT,8,181,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C9/P14.gif,0,0.0,0,0.0,0,0
182,TANGO CHOP,1,7,HONGRES,PUR-SANG,PARTANT,OEILLERES_CLASSIQUE,H. BILLOT/MME S. DOUSSOT BILLOT,BILLOT (S),0,JC.GAGNON,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)8s7sAsTh9h1h4h8h7h,31,2,7,"{'gainsCarriere': 3781000, 'gainsVictoires': 1968000, 'gainsPlace': 1813000, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 1275000}",Night tango,Mahitica,1,False,False,0,0,710,False,0,0,GALOP,12,182,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P1.gif,0,1200000.0,Solicitor,670.0,0,MR ALAIN CHOPARD
183,A CUERPO LIMPIO,2,6,HONGRES,PUR-SANG,PARTANT,SANS_OEILLERES,JP.VANDEN HEEDE,BILLOT (S),0,D.MESCAM,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,(14)4h2hAs1s3sAs4h1h1p,18,5,8,"{'gainsCarriere': 6532500, 'gainsVictoires': 3936000, 'gainsPlace': 2596500, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 2482000}",Sholokhov,Al shuua,5,False,False,0,0,700,False,0,0,GALOP,12,183,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R2/C4/P2.gif,0,1400000.0,Lomitas,660.0,"{'libelleCourt': '13 L', 'libelleLong': '13 longueurs', 'code': 7, 'identifiant': 'TREIZE_LONGUEURS'}",MR HANNES K. GUTSCHOW
