,nom,numPmu,age,sexe,race,statut,oeilleres,proprietaire,entraineur,deferre,driver,driverChange,robe,indicateurInedit,musique,nombreCourses,nombreVictoires,nombrePlaces,gainsParticipant,nomPere,nomMere,ordreArrivee,jumentPleine,engagement,supplement,handicapDistance,handicapPoids,poidsConditionMonteChange,tempsObtenu,reductionKilometrique,allure,course_id,participant_id,incident,placeCorde,urlCasaque,ecurie,tauxReclamation,nomPereMere,poidsConditionMonte,distanceChevalPrecedent,eleveur
0,AMIZARA,1,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Jean Michel BAUDOUIN,J.M. BAUDOUIN,DEFERRE_ANTERIEURS_POSTERIEURS,F. LAGADEUC,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,1m1m1m0aDa9a1a3a,8,4,1,"{'gainsCarriere': 3602000, 'gainsVictoires': 3420000, 'gainsPlace': 182000, 'gainsAnneeEnCours': 3602000, 'gainsAnneePrecedente': 0}",Kesaco phedo,Lizara,1,False,False,0,2700,650,False,206120,76300,TROT,2,0,,,,,,,,,
1,ANNEE DE BANNES,2,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,L. LAUDREN,L. LAUDREN,0,A. WIELS,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,3m6a0aDmDm5m7aDm5a6a,29,2,12,"{'gainsCarriere': 4250000, 'gainsVictoires': 1485000, 'gainsPlace': 2765000, 'gainsAnneeEnCours': 3808000, 'gainsAnneePrecedente': 442000}",Kiwi,Legende de bannes,0,False,False,0,2700,650,False,0,0,TROT,2,1,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
2,ASTUCE CLAYETTOISE,3,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,G. RAFFESTIN,G. RAFFESTIN,DEFERRE_POSTERIEURS,A. BARRIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7m3m1m7a5a4m6a5a7a8a,24,2,21,"{'gainsCarriere': 4340000, 'gainsVictoires': 1665000, 'gainsPlace': 2675000, 'gainsAnneeEnCours': 2613000, 'gainsAnneePrecedente': 1715000}",Picsou de villabon,Kette clayettoise,2,False,False,0,2700,650,False,206630,76500,TROT,2,2,0,,,,,,,,
3,AMOURETTE ROSE,4,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,R. COHEN,PH. BENGALA,0,A. LAMY,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,0a0a0a4a8a2aDa3a0aDa,23,2,9,"{'gainsCarriere': 4459000, 'gainsVictoires': 1485000, 'gainsPlace': 2974000, 'gainsAnneeEnCours': 2815000, 'gainsAnneePrecedente': 1644000}",Joel james,Quilla rose,0,False,False,0,2700,650,False,0,0,TROT,2,3,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
4,AUDACIEUSE FOUTEAU,5,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,A. DREUX,A. DREUX,DEFERRE_POSTERIEURS,D. THOMAIN,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Dm3m2m1m1m8m6aDm4m7m,18,4,7,"{'gainsCarriere': 4607000, 'gainsVictoires': 2925000, 'gainsPlace': 1682000, 'gainsAnneeEnCours': 3617000, 'gainsAnneePrecedente': 990000}",Hulk des champs,Elisalde,0,False,False,0,2700,650,False,0,0,TROT,2,4,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
5,ALL STAR ROC,6,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Christian BIGEON,CH. BIGEON,0,CH.J. BIGEON,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,8m7mDaDa0a6aDa8a7aDa,33,2,12,"{'gainsCarriere': 4992000, 'gainsVictoires': 3195000, 'gainsPlace': 1797000, 'gainsAnneeEnCours': 167000, 'gainsAnneePrecedente': 3529000}",Paris haufor,Pasticia du boulay,0,False,False,0,2700,650,False,0,0,TROT,2,5,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
6,AROMA,7,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,D. SANDERS,H. VAN DEN HENDE,0,J. VANMEERBECK,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7m5m4m5m4m2m8m7m8m5m,30,1,17,"{'gainsCarriere': 4996000, 'gainsVictoires': 495000, 'gainsPlace': 4501000, 'gainsAnneeEnCours': 2461000, 'gainsAnneePrecedente': 2535000}",Little crack,Lofgie du verger,7,False,False,0,2700,650,False,210050,77800,TROT,2,6,0,,,,,,,,
7,ARABOLE DU VARLET,8,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,B. DUPUIS,M. DUPUIS,DEFERRE_ANTERIEURS_POSTERIEURS,J. DAVE,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,4mDa0m6m5m0a6m8m1m6m,33,1,20,"{'gainsCarriere': 5041000, 'gainsVictoires': 585000, 'gainsPlace': 4456000, 'gainsAnneeEnCours': 2926000, 'gainsAnneePrecedente': 2115000}",Magnificent rodney,Gabole du varlet,6,False,False,0,2700,570,False,209020,77400,TROT,2,7,0,,,,,,,,
8,AMETHYSTE JIEL,9,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. LUCK,J.L. DERSOIR,DEFERRE_ANTERIEURS_POSTERIEURS,F. DESMIGNEUX,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,7a6a7a1aDaDa0a(13)DaDa,14,4,4,"{'gainsCarriere': 5082000, 'gainsVictoires': 4635000, 'gainsPlace': 447000, 'gainsAnneeEnCours': 1587000, 'gainsAnneePrecedente': 3495000}",Qualypso jiel,Maya jiel,0,False,False,0,2700,570,False,0,0,TROT,2,8,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
9,AFFABLE D'OCCAGNES,10,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,P. ROBIN,D. DESCLOS,0,M. ABRIVARD,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,0a7a0aDa0a5aDa4aDa9a,21,3,8,"{'gainsCarriere': 5313000, 'gainsVictoires': 3735000, 'gainsPlace': 1578000, 'gainsAnneeEnCours': 3764000, 'gainsAnneePrecedente': 1549000}",Niky,For ever galaxie,0,False,False,0,2700,650,False,0,0,TROT,2,9,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
10,ASTUCE DU BAS BOSQ,11,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,F. GIARD,F. GIARD,0,G. GERVAIS,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,6mDm3m4mDm9mDm0aDm3m,31,1,13,"{'gainsCarriere': 5333000, 'gainsVictoires': 540000, 'gainsPlace': 4793000, 'gainsAnneeEnCours': 2756000, 'gainsAnneePrecedente': 2577000}",Caballio in blue,Karlinette,8,False,False,0,2700,550,False,214070,79300,TROT,2,10,0,,,,,,,,
11,ANITA DE L'EPINAY,12,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J.CL. DEBAUDRE,D. BROHIER,0,JULIEN RAFFESTIN,False,"{'code': '079', 'libelleCourt': 'BAI BR', 'libelleLong': 'BAI BRUN  (pour France Galop)      Noir pan (pour SECF)'}",False,Da1m1m1m1mDaDa(13)5aDa,11,4,2,"{'gainsCarriere': 5400000, 'gainsVictoires': 4995000, 'gainsPlace': 405000, 'gainsAnneeEnCours': 4995000, 'gainsAnneePrecedente': 405000}",Jet fortuna,Hydra de l'epinay,0,False,False,0,2700,650,False,0,0,TROT,2,11,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
12,AUBE D'ORTIGE,13,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,F. GARNER,S. ROGER,DEFERRE_POSTERIEURS,D. BONNE,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,3m9a0a3m2m4m2a5a2a9a,21,2,14,"{'gainsCarriere': 5486000, 'gainsVictoires': 1485000, 'gainsPlace': 4001000, 'gainsAnneeEnCours': 3285000, 'gainsAnneePrecedente': 2201000}",Kaiser soze,Providence dortige,5,False,False,0,2700,650,False,208060,77100,TROT,2,12,0,,,,,,,,
13,ARIA DEL GREEN,14,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J.L. COLOMBIER,F. TERRY,0,CEDRIC TERRY,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,2m4m6m6mDm6m8m3m9a4m,20,0,14,"{'gainsCarriere': 5560000, 'gainsVictoires': 0, 'gainsPlace': 5560000, 'gainsAnneeEnCours': 3600000, 'gainsAnneePrecedente': 1960000}",Prince d'espace,Pinta quick,0,False,False,0,2700,570,False,0,0,TROT,2,13,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,,,,,,,,
14,ANNA LAURA,15,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J.P. FINIELZ,J. BRUNEAU,0,MLLE N. HENRY,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Dm8mDm7m0aDm4m2m3mDm,18,1,9,"{'gainsCarriere': 5571000, 'gainsVictoires': 1620000, 'gainsPlace': 3951000, 'gainsAnneeEnCours': 2050000, 'gainsAnneePrecedente': 3521000}",Paleo du fruitier,Farandole vinoir,4,False,False,0,2700,650,False,207790,77000,TROT,2,14,0,,,,,,,,
15,ANNEES FOLLES,16,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie M. et A.P. BEZIER,M. BEZIER,0,M. MOTTIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,3m2aDa3m7m2mDaDa4m5m,25,0,13,"{'gainsCarriere': 5584000, 'gainsVictoires': 0, 'gainsPlace': 5584000, 'gainsAnneeEnCours': 4297000, 'gainsAnneePrecedente': 1287000}",Memphis du rib,Juva fortuna,3,False,False,0,2700,650,False,207040,76700,TROT,2,15,0,,,,,,,,
16,BARRACUDA RIVER,1,6,MALES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,LAPECA TRAV AB (SWE),L. KOLGJINI,DEFERRE_ANTERIEURS,D. LOCQUENEUX,False,"{'code': '021', 'libelleCourt': 'BAI F.', 'libelleLong': 'BAI FONCE'}",False,0m7a7m2mDaDaDa,7,0,3,"{'gainsCarriere': 19092500, 'gainsVictoires': 0, 'gainsPlace': 1240000, 'gainsAnneeEnCours': 1240000, 'gainsAnneePrecedente': 0}",Express it,Just about enough,0,False,False,0,2100,0,False,0,0,TROT,5,16,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,1.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P1.gif,,,,,,
17,AUSONE DU KASTEL,2,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,M. AZOT,E. ALLARD,0,E. ALLARD,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,DaDaDa2a7a0aDaDa7a,31,5,10,"{'gainsCarriere': 19351000, 'gainsVictoires': 10485000, 'gainsPlace': 8866000, 'gainsAnneeEnCours': 830000, 'gainsAnneePrecedente': 18295000}",Gros grain,Lancee,7,False,False,0,2100,0,False,153290,73000,TROT,5,17,0,2.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P2.gif,,,,,,
18,ADELIE,3,5,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. COTTEL,L.CL. ABRIVARD,DEFERRE_POSTERIEURS,L.CL. ABRIVARD,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7a4a2a3aDa5aDa9a6a0a,31,3,16,"{'gainsCarriere': 18882000, 'gainsVictoires': 4400000, 'gainsPlace': 14482000, 'gainsAnneeEnCours': 9865000, 'gainsAnneePrecedente': 7492000}",Ganymede,Linea dream,4,False,False,0,2100,0,False,152630,72700,TROT,5,18,0,3.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P3.gif,,,,,,
19,VEA DU VIVIER,4,6,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Jean Paul SASSIER,ST. MEUNIER,DEFERRE_ANTERIEURS_POSTERIEURS,F. OUVRIE,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,0a1a2a2a7a4a8a6aDa1a,36,7,17,"{'gainsCarriere': 22054000, 'gainsVictoires': 12435000, 'gainsPlace': 9619000, 'gainsAnneeEnCours': 11679000, 'gainsAnneePrecedente': 6788000}",Jeanbat du vivier,Kea du vivier,1,False,False,0,2100,0,False,151880,72300,TROT,5,19,0,4.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P4.gif,,,,,,
20,PERKINS GRIF,5,6,MALES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,Scuderia FUTURA 2004 SRL (ITY),F. SOULOY,DEFERRE_ANTERIEURS_POSTERIEURS,R. ANDREGHETTI,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,4aDaDa5a3a6a,3,0,1,"{'gainsCarriere': 20834800, 'gainsVictoires': 0, 'gainsPlace': 840000, 'gainsAnneeEnCours': 840000, 'gainsAnneePrecedente': 0}",Classic photo,Radiant victory,0,False,False,0,2100,0,False,0,0,TROT,5,20,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,5.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P5.gif,,,,,,
21,CHAPEAU,6,6,MALES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,Stall EXPRESS (GER),S.H. JOHANSSON,0,P. VERCRUYSSE,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,3a2a3a2a2a1a,0,0,0,"{'gainsCarriere': 22035600, 'gainsVictoires': 0, 'gainsPlace': 0, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 0}",Love you,Crown tess,3,False,False,0,2100,0,False,152170,72500,TROT,5,21,0,6.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P6.gif,,,,,,
22,PLUTONIO,7,6,MALES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,A. GOKESCH (AUT),A. KRISTOFFERSSON,DEFERRE_ANTERIEURS_POSTERIEURS,F. NIVARD,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,0m8a6a9a3a3a5a4aDa4a,20,0,14,"{'gainsCarriere': 21173600, 'gainsVictoires': 0, 'gainsPlace': 7859000, 'gainsAnneeEnCours': 6569000, 'gainsAnneePrecedente': 1290000}",Self possessed,Indra bi,5,False,False,0,2100,0,False,152720,72700,TROT,5,22,0,7.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P7.gif,,,,,,
23,ALCESTE DU GOUTIER,8,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie FINCUMET OY (FIN),J. BRUNEAU,DEFERRE_ANTERIEURS_POSTERIEURS,M. ABRIVARD,False,"{'code': '079', 'libelleCourt': 'BAI BR', 'libelleLong': 'BAI BRUN  (pour France Galop)      Noir pan (pour SECF)'}",False,Dm6a9a3a0a2a1a7a5a6a,26,7,14,"{'gainsCarriere': 19425000, 'gainsVictoires': 11250000, 'gainsPlace': 8175000, 'gainsAnneeEnCours': 10498000, 'gainsAnneePrecedente': 8927000}",Quido du goutier,Matsuyama,0,False,False,0,2100,0,False,0,0,TROT,5,23,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,8.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P8.gif,,,,,,
24,VICTORIA DU JOUAN,9,6,FEMELLES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. SECHE,J.L. BIGEON,0,W. BIGEON,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,1a8a0aDaDa3a7aDa3a7a,32,7,14,"{'gainsCarriere': 22701000, 'gainsVictoires': 17010000, 'gainsPlace': 5691000, 'gainsAnneeEnCours': 12856000, 'gainsAnneePrecedente': 5362000}",Insert gede,Jirondelle,2,False,False,0,2100,0,False,152080,72400,TROT,5,24,0,9.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P9.gif,,,,,,
25,RED ROSE AMERICA,10,5,FEMELLES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,Stall PANAMERA RACING (DEN),Mme J. HANSEN,DEFERRE_ANTERIEURS_POSTERIEURS,K. NIELSEN,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,4a1a1a7a(13)1a0a,0,0,0,"{'gainsCarriere': 18190500, 'gainsVictoires': 0, 'gainsPlace': 0, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 0}",Varenne,Armbro voice,8,False,False,0,2100,0,False,156440,74500,TROT,5,25,0,10.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P10.gif,,,,,,
26,FLY THE WORLD,11,5,FEMELLES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,Stall MARDROMMEN HB (SWE),B. ROCKLINGER,0,P.Y. VERVA,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,5a5aDa3aDa2a,1,0,1,"{'gainsCarriere': 16266200, 'gainsVictoires': 0, 'gainsPlace': 475000, 'gainsAnneeEnCours': 475000, 'gainsAnneePrecedente': 0}",Juliano star,Night mare e.,0,False,False,0,2100,0,False,0,0,TROT,5,26,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,11.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P11.gif,,,,,,
27,VALDU MAG,12,6,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,M. AGOSTINI,B. BOURGOIN,0,M. MOTTIER,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,0a0a9a9a3a6m2a0a6a8a,47,1,30,"{'gainsCarriere': 18510000, 'gainsVictoires': 1750000, 'gainsPlace': 16760000, 'gainsAnneeEnCours': 3264000, 'gainsAnneePrecedente': 4136000}",Jam pridem,Poesie de chamant,9,False,False,0,2100,0,False,156490,74500,TROT,5,27,0,12.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P12.gif,,,,,,
28,ROCCO GRIF,13,5,MALES,TROTTEUR ETRANGER,PARTANT,SANS_OEILLERES,Scuderia ZB SPORT SRL (ITY),S. CARRO,DEFERRE_POSTERIEURS,J. VERBEECK,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Da4aDa2a2a2a,1,0,0,"{'gainsCarriere': 6652100, 'gainsVictoires': 0, 'gainsPlace': 0, 'gainsAnneeEnCours': 0, 'gainsAnneePrecedente': 0}",Varenne,Divine spark,6,False,False,0,2100,0,False,152890,72800,TROT,5,28,0,13.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C6/P13.gif,,,,,,
29,ARTISTE DU LYS,1,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. SECHE,J.L. BIGEON,0,W. BIGEON,False,"{'code': '005', 'libelleCourt': 'AL FON', 'libelleLong': 'ALEZAN FONCE'}",False,2aDa6a5a4a5a2a1a(13)2a,13,2,9,0,Oiseau de feux,Jaquissime,10,False,False,0,2700,0,False,205180,76000,TROT,6,29,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P1.gif,,,,,,
30,ARMANO,2,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J.CL. COUDRY,J. BETHOUART,0,P. VERCRUYSSE,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,3aDaDaDa8a3a7aDa0a0a,32,2,11,0,Nahar de beval,Morgane de rossi,0,False,False,0,2700,0,False,0,0,TROT,6,30,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P2.gif,,,,,,
31,AFGHAN BARBES,3,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,A.F. BIGEON,CH. BIGEON,DEFERRE_POSTERIEURS,CH. BIGEON,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,3a1a8a9aDaDa(13)2a1aDa,12,3,4,0,Meaulnes du corta,Nuance barbes,1,False,False,0,2700,0,False,202240,74900,TROT,6,31,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P3.gif,,,,,,
32,AMIGO TURGOT,4,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Mme TH. HOSTE,F. BLANDIN,0,F. BLANDIN,False,"{'code': '079', 'libelleCourt': 'BAI BR', 'libelleLong': 'BAI BRUN  (pour France Galop)      Noir pan (pour SECF)'}",False,8a9a1aDa5aDaDa0a1aDa,20,4,5,0,Prince d'espace,Paloma de collerie,8,False,False,0,2700,0,False,204900,75900,TROT,6,32,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P4.gif,,,,,,
33,AULIS DU COURTILLE,5,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J.Y. BINOIS,J.M. BAUDOUIN,DEFERRE_POSTERIEURS,J.M. BAZIRE,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,7a2a6a0a0aDa(13)1a1aDa,12,5,3,0,Buvetier d'aunou,Miss du courtille,5,False,False,0,2700,0,False,203550,75400,TROT,6,33,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P5.gif,,,,,,
34,ALPHA D'AZIF,6,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,P. MANETTA,H. BIHEL,DEFERRE_POSTERIEURS,D. THOMAIN,False,"{'code': '079', 'libelleCourt': 'BAI BR', 'libelleLong': 'BAI BRUN  (pour France Galop)      Noir pan (pour SECF)'}",False,Da3aDaDa0aDa7a3a0a3a,26,1,15,0,Jain de beval,Irecte barbes,0,False,False,0,2700,0,False,0,0,TROT,6,34,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P6.gif,,,,,,
35,ARTHURO BOY,7,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Y. DREUX,Y. DREUX,DEFERRE_ANTERIEURS_POSTERIEURS,Y. DREUX,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,2aDa5a2a4a(13)3a1a3a2a,13,2,8,0,Le retour,Guyane,0,False,False,0,2700,0,False,0,0,TROT,6,35,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P7.gif,,,,,,
36,ANGEL ROCK,8,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,ELEVAGE MARJEA,F. LEBLANC,DEFERRE_ANTERIEURS_POSTERIEURS,F. NIVARD,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,1a9mDa3a5a6aDa2a1aDa,20,4,7,0,Ganymede,Hermine d'urga,0,False,False,0,2700,0,False,0,0,TROT,6,36,DISQUALIFIE_POUR_ALLURE_IRREGULIERE,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P8.gif,,,,,,
37,AS D'ERONVILLE,9,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,R. FRANCOIS,ST. MEUNIER,DEFERRE_POSTERIEURS,ST. MEUNIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,Da7a0a6a8aDa7a9a6a7a,30,4,13,0,Kaisy dream,Miami,9,False,False,0,2700,0,False,204940,75900,TROT,6,37,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P9.gif,,,,,,
38,AS DODIENVILLE,10,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Jean Paul MARMION,J.P. MARMION,DEFERRE_ANTERIEURS_POSTERIEURS,A. BARRIER,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,2a3a2a1a1a7a4a4a1a2a,12,4,8,0,Chef du chatelet,Liane dodienville,3,False,False,0,2700,0,False,202600,75000,TROT,6,38,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P10.gif,,,,,,
39,AVATAR BATAILLE,11,5,MALES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,PH. TERNISIEN,PH. TERNISIEN,DEFERRE_ANTERIEURS_POSTERIEURS,PH. TERNISIEN,False,"{'code': '001', 'libelleCourt': 'ALEZAN', 'libelleLong': 'ALEZAN'}",False,4a2a4aDaDaDa6aDaDaDa,19,5,4,0,Gazouillis,Quinzeline,4,False,False,0,2700,0,False,203320,75300,TROT,6,39,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P11.gif,,,,,,
40,AD LIBITUM,12,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie Manuel GARCIA,TH. DUVALDESTIN,DEFERRE_ANTERIEURS_POSTERIEURS,TH. DUVALDESTIN,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,0a5a3a7a4a1a5a5aDa4a,21,4,13,0,Kiwi,Kortina flor,7,False,False,0,2700,0,False,204380,75700,TROT,6,40,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P12.gif,,,,,,
41,APOLLO DE SOUVIGNE,13,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,J. CHALINE,M. LENOIR,DEFERRE_ANTERIEURS_POSTERIEURS,M. LENOIR,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,6aDa7a5a2a2a0a8a5aDa,23,3,10,0,Lontzac,Fleur de souvigne,6,False,False,0,2700,0,False,204050,75600,TROT,6,41,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P13.gif,,,,,,
42,ANGE DE LUNE,14,5,HONGRES,TROTTEUR FRANCAIS,PARTANT,SANS_OEILLERES,Ecurie LD-M. ABRIVARD,M. ABRIVARD,DEFERRE_ANTERIEURS_POSTERIEURS,M. ABRIVARD,False,"{'code': '020', 'libelleCourt': 'BAI', 'libelleLong': 'BAI'}",False,1aDa0a4a1a1a2aDa0a4a,14,5,5,0,Laetenter diem,Kera elle,2,False,False,0,2700,0,False,202470,75000,TROT,6,42,0,0.0,https://turfinfo.pmucdn.fr/casaques/01012015/R1/C7/P14.gif,,,,,,
